"#### EXPORT DONNEES METEO POUR ""NANTERRE"" (LAT/LON: 48.892423/2.215331)",,,,,,,,,,,,,,,,,,,,,
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE,,,,,,,,,,,,,,,,,,,,,
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt,,,,,,,,,,,,,,,,,,,,,
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
1/1/10,1,0,24,-1,1,-1,0,89,10,1010,65.5,1,0,-6,122,122,113,0,1,6.9,météo très défavorable
1/2/10,2,0,17,-2,2,0,0,94,10,1021,37,2,0,-6,113,119,113,0,2,5.1,météo très défavorable
1/3/10,3,0,20,-1,3,-3,0,89,10,1022,17.75,4,0,-10,116,113,113,0,2,8.6,météo très défavorable
1/4/10,-2,0,14,-6,-3,-5,0,75,10,1021,0.875,1,0,-10,113,113,113,0,2,8.6,météo très défavorable
1/5/10,-1,0,6,-5,-2,-5,0,88,10,1014,60.5,0,0,-7,116,119,116,0,2,5.1,météo très défavorable
1/6/10,-3,0,12,-6,-3,-4,0,83,10,1004,55.125,0,0,-10,116,119,116,0,2,5.1,météo très défavorable
1/7/10,-3,0,13,-6,-4,-8,0.5,94,9.375,1014,34.875,0,0,-11,116,116,113,0.3,2,8.7,météo très défavorable
1/8/10,-3,0,31,-8,-4,-5,0,94,10,1017,32.75,0,0,-14,113,113,119,0,2,6.9,météo très défavorable
1/9/10,-2,0,30,-5,-3,-2,0.1,91,9,1017,100,0,0,-11,122,122,122,0,1,3.3,météo très défavorable
1/10/10,0,0,10,-2,0,-3,0.1,93,10,1017,94.375,0,0,-5,122,122,119,0,1,3.3,météo très défavorable
1/11/10,0,0,5,-4,0,-3,0,95,8,1020,52.125,1,0,-4,143,116,116,0,1,6.9,météo très défavorable
1/12/10,0,0,22,-6,0,-2,0,96,5.75,1020,60.375,0,0,-10,260,119,119,0,1,5.1,météo très défavorable
1/13/10,2,0,19,-2,2,2,0,100,2,1004,99.625,3,2,-3,143,248,248,0,1,3.3,météo très défavorable
1/14/10,2,0,16,2,2,-2,0,98,6,1011,70.25,3,2,-3,119,143,143,0,1,6.9,météo très défavorable
1/15/10,4,0,17,0,4,0,0.1,98,4.25,1024,52.75,4,3,-5,248,119,143,0,1,6.9,météo très défavorable
1/16/10,7,0,26,2,2,4,1.4,97,9.75,1022,89.25,7,6,-4,119,122,122,0,1,3.3,météo très défavorable
1/17/10,8,0,22,6,7,6,0,97,8,1024,63,8,8,1,116,119,143,0,2,5.1,météo très défavorable
1/18/10,5,0,7,0,5,0,0,97,3.25,1028,51.375,7,5,-1,248,116,143,0,1,8.7,météo très défavorable
1/19/10,3,0,15,-1,2,0,0,93,8,1027,21.5,4,1,-5,143,113,113,0,1,8.7,météo très défavorable
1/20/10,4,0,20,-1,1,4,0.4,97,8,1017,65,4,4,-5,116,122,143,0,2,3.3,météo très défavorable
1/21/10,5,0,9,2,5,3,0,96,4.5,1023,87.25,6,3,0,248,119,143,0,1,3.4,météo très défavorable
1/22/10,7,0,16,1,7,3,0,94,6,1023,52.75,7,4,-1,143,116,143,0,1,8.7,météo très défavorable
1/23/10,4,0,13,2,4,2,0,91,10,1022,84.625,4,2,-1,122,122,119,0,1,3.4,météo très défavorable
1/24/10,5,0,15,2,5,4,0.1,95,9,1026,85.25,5,4,-1,143,122,119,0,1,3.4,météo très défavorable
1/25/10,5,0,14,-1,4,2,0.1,97,5.75,1032,70.875,5,3,-4,260,122,143,0,1,3.4,météo très défavorable
1/26/10,0,0,26,-1,0,-3,0,84,7.75,1037,35.25,1,0,-11,116,116,113,0,1,8.7,météo très défavorable
1/27/10,1,0,20,-5,-1,-1,0,65,10,1038,19.875,1,0,-8,116,113,116,0,2,8.7,météo très défavorable
1/28/10,5,0,16,3,5,2,0.1,96,10,1018,83.875,5,3,-2,122,116,119,0,1,5.2,météo très défavorable
1/29/10,4,0,29,4,4,3,0,99,10,1006,95.75,4,4,-3,122,122,122,0,1,3.4,météo très défavorable
1/30/10,2,0,20,-2,2,-1,0,92,10,1005,16.5,2,0,-5,116,113,113,0,2,8.7,météo très défavorable
1/31/10,4,0,17,-2,4,-1,0,85,8,1011,32.125,4,0,-7,143,113,116,0,1,8.7,météo très défavorable
2/1/10,4,0,20,0,3,-1,0,95,10,1020,55.25,4,0,-6,122,113,116,0,1,8.7,météo très défavorable
2/2/10,6,0,36,2,3,5,0.8,98,8,1020,90.875,6,5,-4,122,122,122,0,1,3.5,météo très défavorable
2/3/10,9,0,24,6,9,8,0.5,98,7.75,1013,98.875,9,7,2,122,122,248,0,2,3.5,météo très défavorable
2/4/10,9,0,19,3,9,5,0,94,8.75,1014,35.75,9,7,1,248,113,113,0,3,8.7,météo très défavorable
2/5/10,9,0,21,6,9,6,0.4,95,9.875,1009,49.625,10,6,2,122,113,113,0,2,8.7,météo très défavorable
2/6/10,6,0,17,3,6,4,0.2,100,6.375,1018,94.25,6,6,1,248,248,122,0,1,3.5,météo très défavorable
2/7/10,5,0,9,3,5,3,0,92,9,1022,73.375,5,3,2,122,119,119,0,1,3.5,météo très défavorable
2/8/10,3,0,15,2,3,2,0.3,91,9.375,1015,83.625,3,2,-3,122,122,119,0.2,2,3.7,météo très défavorable
2/9/10,0,0,21,-2,-1,-3,0.1,84,9.375,1010,65.75,1,0,-10,122,122,113,0.1,2,5.4,météo très défavorable
2/10/10,2,0,31,-3,2,-3,0.1,88,9,1012,49.75,2,0,-10,119,116,113,0,2,7,météo très défavorable
2/11/10,-1,0,34,-4,-2,-2,0.3,78,6.75,1016,96.25,0,0,-11,122,122,122,0,1,3.7,météo très défavorable
2/12/10,0,0,22,-6,-1,-4,0,96,10,1020,42.875,0,0,-12,116,113,119,0,1,7.1,météo très défavorable
2/13/10,-2,0,17,-5,-2,-3,0,91,7.75,1020,85,0,0,-11,143,119,122,0,1,3.8,météo très défavorable
2/14/10,1,0,9,-7,0,-5,0,89,10,1018,32.625,1,0,-7,116,116,116,0,2,8.7,météo très défavorable
2/15/10,1,0,17,-3,1,-1,0,91,9,1013,57.875,2,0,-7,143,119,116,0,2,5.1,météo très défavorable
2/16/10,2,0,14,-5,2,-3,0,94,10,1005,4.125,5,0,-7,113,113,113,0,2,10.6,météo très défavorable
2/17/10,5,0,12,0,4,2,0.4,97,4.125,995,71.25,5,4,-2,260,122,143,0,1,5.3,météo très défavorable
2/18/10,6,0,26,-1,6,5,0,93,6.75,997,56.75,6,5,-3,143,122,116,0,1,6.9,météo très défavorable
2/19/10,6,0,21,2,5,2,0.1,94,9,998,59.125,6,3,-3,143,119,116,0,1,8.5,météo très défavorable
2/20/10,5,0,22,0,5,2,0.1,86,8,1001,51.5,5,0,-3,143,119,116,0,1,6.9,météo très défavorable
2/21/10,7,0,22,-1,6,3,0.1,95,6.75,1001,57.375,7,3,-3,260,119,143,0,1,8.5,météo très défavorable
2/22/10,11,0,37,6,10,10,0.2,96,10,993,79.875,11,8,3,122,119,119,0,2,6.9,météo très défavorable
2/23/10,13,0,27,8,12,9,0.3,93,9,996,86.75,13,9,5,143,122,119,0,2,7,météo très défavorable
2/24/10,11,0,47,6,9,8,0,93,9.5,998,85.25,11,7,3,200,122,122,0,3,5.4,météo très défavorable
2/25/10,10,0,30,7,9,10,0.2,94,10,998,76.25,10,9,4,122,119,116,0,2,7,météo très défavorable
2/26/10,9,0,36,8,7,6,0.4,91,8.875,1005,62.125,9,8,-1,200,122,113,0,2,8.5,météo très défavorable
2/27/10,11,0,28,4,11,8,0,90,10,1006,42.625,11,6,2,116,116,119,0,2,10.1,météo très défavorable
2/28/10,12,0,61,9,7,6,0.2,90,10,1004,98.125,12,10,1,122,122,119,0,2,5.5,météo très défavorable
3/1/10,10,0,11,1,10,6,0,86,9,1014,42.375,10,4,3,143,116,116,0,2,10.1,météo très défavorable
3/2/10,10,0,17,3,10,5,0.2,88,7.75,1024,41.75,11,5,0,248,113,113,0,1,11.1,météo très défavorable
3/3/10,7,0,28,1,7,4,0,73,10,1023,59.875,7,1,-2,116,119,122,0,2,5.5,météo très défavorable
3/4/10,7,0,30,1,7,2,0,77,10,1024,50.125,7,0,-4,122,116,113,0,1,10.1,météo très défavorable
3/5/10,6,0,12,-2,5,0,0,86,10,1030,10.625,7,0,-4,116,113,113,0,2,11.2,météo très défavorable
3/6/10,6,0,22,1,6,1,0,86,10,1026,26.625,6,2,-8,119,113,113,0,2,10.1,météo très défavorable
